source,target,type,count
D,D,D->D,1
D,I,D->I,1
D,K,D->K,1
D,W,D->W,1
D,P,D->P,1
I,D,I->D,1
I,I,I->I,1
I,K,I->K,1
I,W,I->W,1
I,P,I->P,2
K,D,K->D,1
K,I,K->I,1
K,K,K->K,2
K,W,K->W,1
K,P,K->P,1
W,D,W->D,1
W,I,W->I,1
W,K,W->K,1
W,W,W->W,1
W,P,W->P,1
P,D,P->D,1
P,I,P->I,1
P,K,P->K,1
P,W,P->W,1
P,P,P->P,1
